cv_id	glytoucan_ac	pubchem_ac
53477588	G42346RJ	53477588
53477589	G47715OE	53477589
53477602	G74668VC	53477602
53477625	G62942HO	53477625
53477630	G97501MA	53477630
53477647	G66086EX	53477647
53477650	G24499XE	53477650
53477669	G01132FQ	53477669
53477853	G35893LO	53477853
53481024	G78098IA	53481024
53664872	G29169IA	53664872
53664873	G64380CO	53664873
53664874	G53838GP	53664874
53664875	G18904MY	53664875
53664876	G57185FG	53664876
53664877	G96115ZO	53664877
53664878	G23221OS	53664878
53664879	G78215OT	53664879
53664880	G08719OP	53664880
53664881	G30999DM	53664881
53664882	G60371GE	53664882
53664883	G06064JO	53664883
53664884	G01103GR	53664884
53664885	G25692BO	53664885
53710881	G82455WQ	53710881
53761323	G73698CD	53761323
53775013	G35718QG	53775013
53778848	G14651SS	53778848
53793176	G99909LZ	53793176
53810986	G12499UL	53810986
53810987	G55967QW	53810987
53852982	G15513ZS	53852982
53871978	G01846YN	53871978
53879659	G87156SE	53879659
53966394	G30352TK	53966394
53971868	G09126MW	53971868
53993863	G64857YA	53993863
54078377	G46960QD	54078377
54122455	G34926IG	54122455
54157542	G18721GF	54157542
54157543	G56175CL	54157543
54229533	G87206FM	54229533
54238576	G55738TQ	54238576
54333164	G58645HA	54333164
54405360	G23909UE	54405360
54405361	G25296NU	54405361
54476451	G05261VC	54476451
54486861	G87236NR	54486861
54491418	G88880RW	54491418
5459926	G27798EJ	5459926
5459972	G29966LR	5459972
5460291	G47203JO	5460291
54613776	G96107VY	54613776
56608387	G29369RY	56608387
56611748	G41752RI	56611748
56611864	G00041MO	56611864
56613011	G86448FA	56613011
56613364	G79379XF	56613364
56618025	G41806QY	56618025
56620703	G29142KQ	56620703
56622820	G98412TA	56622820
56625777	G00977CB	56625777
56627468	G75472OU	56627468
56629677	G59782MA	56629677
56632371	G42117ON	56632371
56635286	G31564ST	56635286
56635881	G62676CG	56635881
56636285	G76837VW	56636285
56636821	G82153MA	56636821
56835915	G70213NR	56835915
56836111	G51699SI	56836111
56836112	G31135WM	56836112
56836117	G65236OQ	56836117
56836176	G71230WH	56836176
56836177	G20044TD	56836177
56836390	G84034JH	56836390
56927742	G30309UU	56927742
56927753	G56682BC	56927753
56927771	G88313DY	56927771
56927779	G31734OS	56927779
56927821	G67272YR	56927821
56927864	G93575MM	56927864
